regions;year;conso;nuc;hyd;fos;eol;sol;autre
Auvergne-Rhône-Alpes;2014;63.6;87.9;28.2;1.1;0.8;0.6;0.8
Bourgogne-Franche-Comté;2014;20.7;0;0.8;0.5;0.4;0.2;0.1
Bretagne;2014;21.6;0;0.6;0.3;1.4;0.2;0.3
Centre-Val de Loire;2014;17.1;77.9;0.1;0.3;1.6;0.2;0.4
Corse;2014;2.1;0;0.5;0.8;0;0.1;0
Grand Est;2014;45.3;85.9;8.7;6.1;4;0.5;0.5
Hauts-de-France;2014;50.1;34.7;0;3.8;3.7;0.1;0.8
Île-de-France;2014;71;0;0;2.1;0;0.1;1.1
Normandie;2014;27.5;72.1;0.1;3;1.1;0.1;0.5
Nouvelle-Aquitaine;2014;41.7;42.5;4.8;0.4;0.8;1.2;1
Occitanie;2014;35.8;14.9;12.9;0.2;2.1;1.3;0.7
Pays de la Loire;2014;26.1;0;0;3.6;1.1;0.4;0.4
Provence-Alpes-Côte d'Azur;2014;39.5;0;10.5;2.4;0.1;1;0.6
France;2014;462.7;415.8;67.5;24.6;17;5.9;7.1
Auvergne-Rhône-Alpes;2015;66.3;90.9;25.8;2;0.8;0.8;0.8
Bourgogne-Franche-Comté;2015;20.8;0;0.7;0.6;0.7;0.2;0.2
Bretagne;2015;21.9;0;0.5;0.4;1.6;0.2;0.4
Centre-Val de Loire;2015;18.1;79.3;0.1;0.3;1.9;0.3;0.5
Corse;2015;2.2;0;0.3;1;0;0.2;0
Grand Est;2015;45.8;85.2;8;7.5;5.2;0.5;0.6
Hauts-de-France;2015;50.4;37.5;0;5.3;5;0.1;0.9
Île-de-France;2015;73.2;0;0;2.4;0;0.1;1
Normandie;2015;27.8;64.8;0.1;3.4;1.3;0.1;0.5
Nouvelle-Aquitaine;2015;43.2;40.4;3.6;0.7;0.9;1.8;1.3
Occitanie;2015;37.1;18.8;10.6;0.3;2.3;1.6;0.7
Pays de la Loire;2015;26.6;0;0;3.9;1.2;0.4;0.4
Provence-Alpes-Côte d'Azur;2015;40.8;0;8.7;5.2;0.1;1.2;0.6
France;2015;474.1;416.8;58.8;33;21.1;7.4;7.7
