date,type,frontiere,valeur
2005-01-01,Exportations,Italie,1.897476
2005-02-01,Exportations,Italie,1.656065
2005-03-01,Exportations,Italie,1.71753
2005-04-01,Exportations,Italie,1.714457
2005-05-01,Exportations,Italie,1.682246
2005-06-01,Exportations,Italie,1.606081
2005-07-01,Exportations,Italie,1.71519
2005-08-01,Exportations,Italie,1.087925
2005-09-01,Exportations,Italie,1.678949
2005-10-01,Exportations,Italie,1.901989
2005-11-01,Exportations,Italie,1.61052
2005-12-01,Exportations,Italie,1.089197
2006-01-01,Exportations,Italie,0.740641
2006-02-01,Exportations,Italie,0.759331
2006-03-01,Exportations,Italie,1.075769
2006-04-01,Exportations,Italie,1.845624
2006-05-01,Exportations,Italie,1.719449
2006-06-01,Exportations,Italie,1.674536
2006-07-01,Exportations,Italie,1.454108
2006-08-01,Exportations,Italie,1.086978
2006-09-01,Exportations,Italie,1.685072
2006-10-01,Exportations,Italie,1.896959
2006-11-01,Exportations,Italie,1.835936
2006-12-01,Exportations,Italie,1.875058
2007-01-01,Exportations,Italie,1.932844
2007-02-01,Exportations,Italie,1.740845
2007-03-01,Exportations,Italie,1.934052
2007-04-01,Exportations,Italie,1.861275
2007-05-01,Exportations,Italie,1.733882
2007-06-01,Exportations,Italie,1.675613
2007-07-01,Exportations,Italie,1.736274
2007-08-01,Exportations,Italie,1.421443
2007-09-01,Exportations,Italie,1.66883
2007-10-01,Exportations,Italie,1.64556
2007-11-01,Exportations,Italie,1.407762
2007-12-01,Exportations,Italie,1.596153
2008-01-01,Exportations,Italie,1.751627
2008-02-01,Exportations,Italie,1.636773
2008-03-01,Exportations,Italie,1.566895
2008-04-01,Exportations,Italie,1.479662
2008-05-01,Exportations,Italie,1.626612
2008-06-01,Exportations,Italie,1.060041
2008-07-01,Exportations,Italie,1.576363
2008-08-01,Exportations,Italie,1.208209
2008-09-01,Exportations,Italie,1.300212
2008-10-01,Exportations,Italie,1.200886
2008-11-01,Exportations,Italie,1.664311
2008-12-01,Exportations,Italie,1.765437
2009-01-01,Exportations,Italie,1.732081
2009-02-01,Exportations,Italie,1.735403
2009-03-01,Exportations,Italie,1.922089
2009-04-01,Exportations,Italie,1.569525
2009-05-01,Exportations,Italie,1.580385
2009-06-01,Exportations,Italie,1.514553
2009-07-01,Exportations,Italie,1.66984
2009-08-01,Exportations,Italie,1.01446
2009-09-01,Exportations,Italie,1.351287
2009-10-01,Exportations,Italie,1.160639
2009-11-01,Exportations,Italie,1.510326
2009-12-01,Exportations,Italie,1.453384
2010-01-01,Exportations,Italie,1.308117
2010-02-01,Exportations,Italie,1.627866
2010-03-01,Exportations,Italie,1.783964
2010-04-01,Exportations,Italie,1.522782
2010-05-01,Exportations,Italie,1.22915
2010-06-01,Exportations,Italie,1.465282
2010-07-01,Exportations,Italie,1.632562
2010-08-01,Exportations,Italie,0.827585
2010-09-01,Exportations,Italie,1.329286
2010-10-01,Exportations,Italie,1.311136
2010-11-01,Exportations,Italie,1.417251
2010-12-01,Exportations,Italie,0.815813
2011-01-01,Exportations,Italie,1.365954
2011-02-01,Exportations,Italie,1.630339
2011-03-01,Exportations,Italie,1.541683
2011-04-01,Exportations,Italie,1.455787
2011-05-01,Exportations,Italie,1.338563
2011-06-01,Exportations,Italie,1.267894
2011-07-01,Exportations,Italie,1.019741
2011-08-01,Exportations,Italie,0.777507
2011-09-01,Exportations,Italie,0.775514
2011-10-01,Exportations,Italie,1.636154
2011-11-01,Exportations,Italie,1.674018
2011-12-01,Exportations,Italie,1.601141
2012-01-01,Exportations,Italie,1.58118
2012-02-01,Exportations,Italie,1.279666
2012-03-01,Exportations,Italie,1.742014
2012-04-01,Exportations,Italie,1.272684
2012-05-01,Exportations,Italie,1.34149
2012-06-01,Exportations,Italie,1.207579
2012-07-01,Exportations,Italie,0.825376
2012-08-01,Exportations,Italie,0.610073
2012-09-01,Exportations,Italie,0.789579
2012-10-01,Exportations,Italie,1.622506
2012-11-01,Exportations,Italie,1.585555
2012-12-01,Exportations,Italie,1.293059
2013-01-01,Exportations,Italie,1.499131
2013-02-01,Exportations,Italie,1.545635
2013-03-01,Exportations,Italie,1.180141
2013-04-01,Exportations,Italie,1.020548
2013-05-01,Exportations,Italie,1.171801
2013-06-01,Exportations,Italie,1.28946
2013-07-01,Exportations,Italie,0.963325
2013-08-01,Exportations,Italie,0.905677
2013-09-01,Exportations,Italie,1.207016
2013-10-01,Exportations,Italie,1.795681
2013-11-01,Exportations,Italie,1.461538
2013-12-01,Exportations,Italie,1.343849
2014-01-01,Exportations,Italie,1.757376
2014-02-01,Exportations,Italie,1.818881
2014-03-01,Exportations,Italie,1.836384
2014-04-01,Exportations,Italie,1.194961
2014-05-01,Exportations,Italie,1.218898
2014-06-01,Exportations,Italie,1.365392
2014-07-01,Exportations,Italie,1.366767
2014-08-01,Exportations,Italie,1.197564
2014-09-01,Exportations,Italie,1.734303
2014-10-01,Exportations,Italie,2.272846
2014-11-01,Exportations,Italie,1.984465
2014-12-01,Exportations,Italie,1.576827
2015-01-01,Exportations,Italie,2.001905
2015-02-01,Exportations,Italie,1.821429
2015-03-01,Exportations,Italie,1.790827
2015-04-01,Exportations,Italie,1.348642
2015-05-01,Exportations,Italie,1.390543
2015-06-01,Exportations,Italie,1.458847
2015-07-01,Exportations,Italie,1.524103
2015-08-01,Exportations,Italie,1.012045
2015-09-01,Exportations,Italie,1.680347
2015-10-01,Exportations,Italie,1.566974
2015-11-01,Exportations,Italie,2.105185
