year,country_code,country_fr,filiere,filiere_label,twh
2014,BEL,Belgique,autre,Autre,8.82
2014,BEL,Belgique,eol,Éolien,4.62
2014,BEL,Belgique,fos,Fossile,25.29
2014,BEL,Belgique,hyd,Hydraulique,0.29
2014,BEL,Belgique,nuc,Nucléaire,33.7
2014,BEL,Belgique,sol,Solaire,2.89
2014,CHE,Suisse,autre,Autre,3.38
2014,CHE,Suisse,eol,Éolien,0.1
2014,CHE,Suisse,fos,Fossile,1.85
2014,CHE,Suisse,hyd,Hydraulique,38.04
2014,CHE,Suisse,nuc,Nucléaire,27.56
2014,CHE,Suisse,sol,Solaire,0.84
2014,DEU,Allemagne,autre,Autre,96.78
2014,DEU,Allemagne,eol,Éolien,58.5
2014,DEU,Allemagne,fos,Fossile,359.69000000000005
2014,DEU,Allemagne,hyd,Hydraulique,19.59
2014,DEU,Allemagne,nuc,Nucléaire,97.13
2014,DEU,Allemagne,sol,Solaire,35.45
2014,ESP,Espagne,autre,Autre,10.82
2014,ESP,Espagne,eol,Éolien,52.01
2014,ESP,Espagne,fos,Fossile,106.87
2014,ESP,Espagne,hyd,Hydraulique,39.17
2014,ESP,Espagne,nuc,Nucléaire,57.31
2014,ESP,Espagne,sol,Solaire,13.67
2014,GBR,Royaume-Uni,autre,Autre,45.24
2014,GBR,Royaume-Uni,eol,Éolien,31.95
2014,GBR,Royaume-Uni,fos,Fossile,209.82
2014,GBR,Royaume-Uni,hyd,Hydraulique,5.89
2014,GBR,Royaume-Uni,nuc,Nucléaire,63.75
2014,GBR,Royaume-Uni,sol,Solaire,4.05
2014,IRL,Irlande,autre,Autre,1.08
2014,IRL,Irlande,eol,Éolien,5.14
2014,IRL,Irlande,fos,Fossile,19.39
2014,IRL,Irlande,hyd,Hydraulique,0.71
2014,IRL,Irlande,nuc,Nucléaire,0.0
2014,IRL,Irlande,sol,Solaire,0.0
2014,ITA,Italie,autre,Autre,49.28
2014,ITA,Italie,eol,Éolien,15.18
2014,ITA,Italie,fos,Fossile,155.85000000000002
2014,ITA,Italie,hyd,Hydraulique,58.55
2014,ITA,Italie,nuc,Nucléaire,0.0
2014,ITA,Italie,sol,Solaire,22.31
2014,NLD,Pays-Bas,autre,Autre,10.02
2014,NLD,Pays-Bas,eol,Éolien,5.8
2014,NLD,Pays-Bas,fos,Fossile,86.36
2014,NLD,Pays-Bas,hyd,Hydraulique,0.11
2014,NLD,Pays-Bas,nuc,Nucléaire,4.09
2014,NLD,Pays-Bas,sol,Solaire,0.73
2014,FRA,France,nuc,Nucléaire,415.8
2014,FRA,France,hyd,Hydraulique,67.5
2014,FRA,France,fos,Fossile,24.6
2014,FRA,France,eol,Éolien,17.0
2014,FRA,France,sol,Solaire,5.9
2014,FRA,France,autre,Autre,7.1
2015,BEL,Belgique,autre,Autre,10.98
2015,BEL,Belgique,eol,Éolien,5.57
2015,BEL,Belgique,fos,Fossile,27.89
2015,BEL,Belgique,hyd,Hydraulique,0.32
2015,BEL,Belgique,nuc,Nucléaire,26.1
2015,BEL,Belgique,sol,Solaire,3.06
2015,CHE,Suisse,autre,Autre,3.26
2015,CHE,Suisse,eol,Éolien,0.11
2015,CHE,Suisse,fos,Fossile,1.8599999999999999
2015,CHE,Suisse,hyd,Hydraulique,38.26
2015,CHE,Suisse,nuc,Nucléaire,23.09
2015,CHE,Suisse,sol,Solaire,1.12
2015,DEU,Allemagne,autre,Autre,100.91999999999999
2015,DEU,Allemagne,eol,Éolien,80.62
2015,DEU,Allemagne,fos,Fossile,359.23999999999995
2015,DEU,Allemagne,hyd,Hydraulique,18.98
2015,DEU,Allemagne,nuc,Nucléaire,91.79
2015,DEU,Allemagne,sol,Solaire,38.08
2015,ESP,Espagne,autre,Autre,11.52
2015,ESP,Espagne,eol,Éolien,49.32
2015,ESP,Espagne,fos,Fossile,122.89
2015,ESP,Espagne,hyd,Hydraulique,28.14
2015,ESP,Espagne,nuc,Nucléaire,57.2
2015,ESP,Espagne,sol,Solaire,13.86
2015,GBR,Royaume-Uni,autre,Autre,58.52
2015,GBR,Royaume-Uni,eol,Éolien,40.27
2015,GBR,Royaume-Uni,fos,Fossile,185.17
2015,GBR,Royaume-Uni,hyd,Hydraulique,6.3
2015,GBR,Royaume-Uni,nuc,Nucléaire,70.34
2015,GBR,Royaume-Uni,sol,Solaire,7.53
2015,IRL,Irlande,autre,Autre,0.96
2015,IRL,Irlande,eol,Éolien,6.57
2015,IRL,Irlande,fos,Fossile,20.18
2015,IRL,Irlande,hyd,Hydraulique,0.81
2015,IRL,Irlande,nuc,Nucléaire,0.0
2015,IRL,Irlande,sol,Solaire,0.0
2015,ITA,Italie,autre,Autre,51.14
2015,ITA,Italie,eol,Éolien,14.84
2015,ITA,Italie,fos,Fossile,170.80999999999997
2015,ITA,Italie,hyd,Hydraulique,45.54
